label,発生日時　　月,発生日時　　日,発生日時　　時,車道幅員,天候,地形,路面状態,道路形状,信号機
1,9,29,6,5,1,3,1,14,7
0,8,17,17,15,1,2,1,1,1
0,5,18,7,3,1,2,1,7,1
1,5,16,10,4,1,3,2,13,7
0,3,4,18,2,1,2,1,14,7
1,3,1,5,18,2,2,2,1,1
1,5,14,21,3,1,2,1,14,7
1,7,26,12,3,1,3,1,13,7
0,3,19,19,14,1,1,1,1,7
0,11,30,16,3,1,3,1,14,7
1,6,25,11,15,2,3,1,1,7
0,12,30,9,15,2,3,2,1,7
0,9,3,9,15,2,2,1,1,1
0,4,18,17,3,1,3,1,14,7
0,11,26,9,18,3,2,2,1,1
1,11,22,8,3,1,3,1,13,7
0,10,5,16,3,2,1,1,14,7
0,7,5,9,3,1,1,1,14,7
0,12,4,11,3,1,2,1,14,7
1,8,8,0,5,1,3,1,14,7
0,3,9,16,15,1,1,1,1,7
1,9,19,21,18,1,1,1,1,1
1,4,28,14,2,1,1,1,21,7
0,12,31,18,5,3,1,2,7,1
0,4,3,14,19,3,2,2,1,1
1,3,17,23,2,2,3,1,13,7
0,11,7,6,15,1,1,1,1,2
0,11,27,16,15,2,2,1,1,1
0,9,21,12,3,1,2,1,7,1
1,9,22,7,3,3,3,2,13,7
0,12,5,17,19,1,1,1,1,1
1,11,7,15,3,1,1,1,7,7
0,4,3,17,5,1,2,1,14,7
0,8,17,17,11,1,1,1,1,7
0,8,22,17,14,3,2,2,1,1
1,4,22,15,3,1,3,5,14,7
1,2,6,15,5,1,3,1,14,7
1,9,4,8,4,1,1,1,7,1
1,1,20,22,14,3,1,2,1,7
1,7,23,13,3,1,3,1,13,7
0,7,23,12,2,1,3,1,7,7
1,3,21,7,3,1,2,1,13,7
0,9,22,4,3,3,3,2,14,7
1,4,2,11,2,1,2,1,14,7
1,4,22,19,17,1,3,1,1,1
0,10,29,0,3,2,1,1,13,7
1,11,28,11,14,1,1,1,1,7
1,4,4,11,3,2,3,2,11,7
1,11,28,5,5,1,1,1,7,7
0,3,27,14,5,1,3,1,14,7
0,5,12,9,5,3,2,2,7,1
0,6,14,7,3,1,1,1,14,7
1,10,30,5,11,3,3,2,1,7
1,12,18,6,3,1,2,1,7,7
1,3,28,19,15,3,1,2,1,1
0,5,29,9,14,1,3,1,1,1
0,8,26,1,6,1,1,1,14,7
0,6,3,9,14,1,1,1,1,7
0,12,1,16,14,1,1,1,1,7
1,11,7,14,3,1,3,1,14,7
0,2,24,10,11,1,2,1,1,2
0,1,15,14,3,1,1,1,7,7
1,6,30,11,0,2,1,1,0,7
1,8,11,3,3,1,1,1,13,7
0,11,27,8,3,1,3,2,13,7
1,10,22,21,4,1,1,1,7,7
0,3,31,10,4,1,1,1,14,7
0,1,15,18,15,1,3,1,1,7
1,3,28,1,2,1,2,1,7,7
1,11,16,16,3,1,2,1,7,7
1,2,9,7,18,1,2,1,1,7
1,9,17,19,14,1,1,1,1,7
0,8,8,15,14,1,1,1,1,1
1,5,20,9,5,3,1,2,14,7
1,10,13,13,18,1,2,1,1,1
0,11,21,15,3,1,2,1,14,7
1,4,25,17,18,1,1,1,1,1
1,7,29,8,4,2,3,2,11,7
0,7,18,8,3,1,1,1,7,7
0,6,8,16,3,1,1,1,14,7
0,12,5,6,3,1,2,1,14,7
1,4,10,21,3,1,3,1,14,7
0,10,12,15,2,1,1,1,14,7
1,5,13,5,14,3,3,2,1,7
0,9,14,12,3,1,3,1,12,7
1,10,2,1,18,1,1,1,1,1
0,12,26,9,15,1,2,1,1,1
0,10,20,15,4,3,2,2,7,7
1,6,8,0,15,1,1,1,1,7
1,10,20,14,3,1,3,1,13,7
1,12,17,7,18,1,2,1,1,1
0,12,29,13,4,1,1,1,7,1
0,11,8,21,15,1,2,1,1,1
1,10,25,18,2,1,1,1,14,7
1,9,6,8,18,1,1,1,1,7
1,10,5,9,3,1,3,1,13,7
0,2,20,18,6,1,1,1,14,7
0,6,4,19,2,2,2,1,7,1
0,7,1,14,19,3,2,2,1,1
1,12,11,17,3,1,3,1,14,7
1,4,26,14,0,2,3,1,0,7
0,8,22,18,3,2,1,1,14,7
0,9,4,7,2,1,1,1,14,7
1,7,14,12,14,2,3,1,1,1
1,8,9,11,3,1,3,1,14,7
0,6,5,17,3,1,3,1,7,7
1,1,15,15,4,2,3,3,14,7
0,3,27,17,3,1,2,1,14,7
0,12,3,18,14,1,2,1,1,7
1,10,23,10,5,1,1,1,14,7
0,11,12,8,11,1,3,1,1,1
1,8,14,7,18,2,2,1,1,1
0,7,18,15,15,1,1,1,1,1
0,7,1,13,15,1,2,1,1,1
1,3,30,15,11,1,3,1,1,7
0,9,17,18,3,1,1,1,14,7
0,12,21,14,18,2,2,1,1,1
0,2,14,12,4,1,1,1,7,1
1,7,21,1,4,1,3,1,14,7
0,2,25,20,15,1,3,2,1,7
0,2,12,2,4,1,1,1,14,7
1,11,9,6,3,1,1,1,7,3
1,8,13,12,18,1,1,1,1,1
1,10,30,20,3,2,3,1,13,7
1,4,30,11,3,2,3,1,13,7
0,8,23,11,15,1,2,1,1,1
0,1,9,22,3,2,1,4,14,7
1,11,1,19,1,3,3,2,14,7
0,3,25,6,3,1,3,1,7,7
0,10,1,8,3,1,3,1,7,7
0,4,16,16,15,1,2,1,1,1
0,11,22,17,2,1,3,1,14,7
1,2,2,20,14,1,1,1,1,7
1,2,25,18,4,3,3,2,14,7
0,2,28,16,3,1,1,1,7,1
1,5,18,12,3,1,1,1,14,7
1,10,2,15,3,2,3,1,7,7
0,4,19,6,18,1,1,1,1,1
1,5,14,19,5,1,1,1,14,7
0,11,29,20,15,1,1,1,1,7
0,4,14,2,14,1,2,1,1,7
0,8,11,15,4,1,3,1,14,7
1,3,19,14,3,1,3,1,7,7
0,5,1,19,18,3,1,2,1,1
0,7,3,8,5,1,2,1,14,7
0,6,5,13,4,1,3,1,14,7
1,4,4,7,3,2,3,1,11,7
0,10,7,23,0,1,1,1,0,7
0,6,6,9,3,1,2,1,14,7
0,11,11,9,2,2,1,1,14,7
0,4,18,16,3,1,3,1,13,7
0,4,26,14,15,2,1,1,1,7
1,2,3,20,3,3,3,2,14,7
1,7,28,2,5,1,2,1,14,7
0,5,31,9,3,2,1,2,14,1
0,1,24,20,15,1,2,1,1,1
1,9,3,8,14,2,1,1,1,1
0,9,25,16,5,1,3,1,14,7
0,3,30,18,4,1,1,1,14,7
1,8,27,14,2,2,2,1,14,7
1,11,3,7,3,1,3,2,14,7
1,10,26,11,14,1,3,1,1,7
1,9,29,15,15,1,2,1,1,2
1,8,3,21,2,2,3,1,14,7
1,12,29,8,2,5,3,4,13,7
0,11,13,16,3,1,2,1,14,7
1,1,4,21,2,1,2,1,14,7
0,2,16,10,11,2,1,1,1,7
0,2,16,11,11,2,1,1,1,1
1,3,1,19,15,1,3,1,1,1
1,12,26,6,15,1,1,1,1,1
1,8,29,9,14,2,1,1,1,7
1,1,11,4,3,1,2,1,7,7
1,6,29,12,3,1,3,1,13,7
1,9,26,7,15,1,3,1,1,7
1,8,27,15,4,2,2,2,14,7
0,1,13,11,2,1,2,1,14,7
1,7,9,15,3,1,2,1,14,7
1,11,24,22,3,1,2,1,13,7
0,9,11,10,3,1,2,1,14,7
